nodes,techs,carriers,timesteps,flow_in_inc_eff
ESP_1,ESP_1_ESP_2_ac_ohl_transmission,electricity,2018-01-01 00:00:00,8.569817421946017e-06
ESP_1,ESP_1_ESP_2_ac_ohl_transmission,electricity,2018-01-01 03:00:00,8.567670249457658e-06
ESP_1,ESP_1_ESP_2_ac_ohl_transmission,electricity,2018-01-01 06:00:00,8.433140244967727e-06
ESP_1,ESP_1_ESP_2_ac_ohl_transmission,electricity,2018-01-01 09:00:00,8.433461603232999e-06
ESP_1,ESP_1_ESP_2_ac_ohl_transmission,electricity,2018-01-01 12:00:00,8.429077397604788e-06
ESP_1,ESP_1_ESP_2_ac_ohl_transmission,electricity,2018-01-01 15:00:00,8.4340708831128e-06
ESP_1,ESP_1_ESP_2_ac_ohl_transmission,electricity,2018-01-01 18:00:00,8.566535566031514e-06
ESP_1,ESP_1_ESP_2_ac_ohl_transmission,electricity,2018-01-01 21:00:00,8.56919619390766e-06
ESP_1,ESP_1_ESP_2_ac_ohl_transmission,electricity,2018-01-02 00:00:00,8.568892537621732e-06
ESP_1,ESP_1_ESP_2_ac_ohl_transmission,electricity,2018-01-02 03:00:00,8.567834747271073e-06
ESP_1,ESP_1_ESP_2_ac_ohl_transmission,electricity,2018-01-02 06:00:00,8.572258023089435e-06
ESP_1,ESP_1_ESP_2_ac_ohl_transmission,electricity,2018-01-02 09:00:00,8.572296623073934e-06
ESP_1,ESP_1_ESP_2_ac_ohl_transmission,electricity,2018-01-02 12:00:00,8.570091512118373e-06
ESP_1,ESP_1_ESP_2_ac_ohl_transmission,electricity,2018-01-02 15:00:00,8.5708536467488e-06
ESP_1,ESP_1_ESP_2_ac_ohl_transmission,electricity,2018-01-02 18:00:00,8.570450310148813e-06
ESP_1,ESP_1_ESP_2_ac_ohl_transmission,electricity,2018-01-02 21:00:00,8.5715475391047e-06
ESP_1,ESP_1_ESP_2_ac_ohl_transmission,electricity,2018-01-03 00:00:00,8.570249964481782e-06
ESP_1,ESP_1_ESP_2_ac_ohl_transmission,electricity,2018-01-03 03:00:00,8.568567707240697e-06
ESP_1,ESP_1_ESP_2_ac_ohl_transmission,electricity,2018-01-03 06:00:00,8.570535614196995e-06
ESP_1,ESP_1_ESP_2_ac_ohl_transmission,electricity,2018-01-03 09:00:00,8.574539820151588e-06
ESP_1,ESP_1_ESP_2_ac_ohl_transmission,electricity,2018-01-03 12:00:00,8.570788438458653e-06
ESP_1,ESP_1_ESP_2_ac_ohl_transmission,electricity,2018-01-03 15:00:00,8.571949711249032e-06
